number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
33,AER2,R1,Rep3,red,Bobwhite,G1,9,96.61,0.25,-14.07,33.13,2.88,37.03,76.54,-15.53,1678.67,72.65,47.09,2176.3,69.06,0.5,55.13,0.09
34,AER2,R1,Rep3,red,Guinea_fowl,G4,9,100,0.48,12.45,33.92,3.1,22.29,27.53,-14.27,502.52,50.34,29.19,1466.81,48.54,0.51,55.64,0.07
35,AER2,R1,Rep3,red,Muromo_wehoto,G10,9,100,0.29,-4.29,1.65,7.14,14.45,11.78,0.19,1466.81,30.58,48.54,1834.95,66.26,0.53,58.55,0.08
36,AER2,R1,Rep3,red,Kabhutsu,G5,9,100,0.33,-5.22,0.62,22,15.05,14.9,0.54,1508.49,27.32,55.12,1369.2,49.45,0.51,56.23,0.09
37,AER2,R1,Rep4,sand,Kasawaya,G6,6,32.7,0.1,-1.46,14.25,2.0667,30.16,57.23,-6.0144,1645.5623,41.4514,41.08,1981.45,63.44,0.49,55.05,0.15
38,AER2,R1,Rep4,sand,Natal_common,G11,6,36.8,0.19,-4.09,10.2,4.2082,31.07,46.48,-3.626,1959.5286,62.1959,45.05,3627.83,85.67,0.52,60.89,0.16
39,AER2,R1,Rep4,sand,Makulu_red,G7,6,38,0.18,-4.58,8.66,9.3441,30.65,50.56,-3.6275,2091.9584,64.4628,47.46,3047.46,76.71,0.48,56,0.17
40,AER2,R1,Rep4,sand,Tumbe,G12,7,42.5,0.23,-5.65,7.03,10.5349,30.59,37.09,-3.031,2123.4177,24.8705,49.84,1373.49,41.82,0.5,55.97,0.2
41,AER2,R1,Rep4,sand,Murambatsvina,G9,7,46,0.28,-5.2,10.12,12.278,36.67,69.52,-3.5332,2905.3139,53.5902,48.89,2008.75,50.48,0.48,54.28,0.2
42,AER2,R1,Rep4,sand,Munzungu_munemari,G8,7,46.8,0.22,-5.39,7.23,12.5031,30.09,58.62,-3.1642,2064.4765,54.1532,49.25,0,45.62,0.45,53.19,0.31
43,AER2,R1,Rep4,sand,Chizambia,G3,7,50,0.16,-4.07,9.14,15.2075,29.07,14.74,-3.4911,1807.5644,68.3426,45.3,1596.36,52.71,0.53,58.63,0.14
44,AER2,R1,Rep4,sand,Chigunwe,G2,7,50.4,0.1,-4.2,5.05,17.6809,22.52,15.83,-3.4073,2372.9666,53.7917,54.1,0,58.67,0.49,56.56,0.21
45,AER2,R1,Rep4,sand,Bobwhite,G1,7,51.9,0.22,-2.64,5.86,18.6963,25.33,28.53,-2.8761,1829.4371,68.6267,48.9,1641.27,44.95,0.47,53.6,0.2
46,AER2,R1,Rep4,sand,Guinea_fowl,G4,7,54.1,0.15,-3.93,11.86,20.8872,30.57,45.68,-4.4437,1715.1542,59.8447,42.43,2641.17,67.41,0.51,58.27,0.18
47,AER2,R1,Rep4,sand,Muromo_wehoto,G10,7,56.9,0.28,-6.66,3.49,22.4213,24.97,36.64,-0.7832,1668.068,60.2132,52.39,1149.36,49.43,0.45,51.21,0.16
48,AER2,R1,Rep4,sand,Kabhutsu,G5,8,63.8,0.19,-4.36,7.4,29.3284,26.56,21.4,-3.4462,1692.0626,67.8021,46.31,2136.05,49.73,0.47,54.54,0.23
49,AER2,R1,Rep5,sand,Kasawaya,G6,6,33,0.15,-1.45,13.1,3.4204,30.58,57.27,-6.6279,174.8789,47.2939,44.32,2373.12,56.42,0.49,56.56,0.21
50,AER2,R1,Rep5,sand,Natal_common,G11,6,37.2,0.17,-3.6,11.13,4.1082,30.32,44.94,-4.2689,184.74,67.892,38.89,2715.13,43.02,0.44,51.58,0.29
51,AER2,R1,Rep5,sand,Makulu_red,G7,6,38.8,0.18,-3.74,7.73,11.3399,30.93,53.36,-3.7598,172.1319,69.6547,40.43,1391.23,49.69,0.44,51.73,0.25
52,AER2,R1,Rep5,sand,Tumbe,G12,7,43,0.22,-3.48,6.22,13.1077,31.21,34.68,-2.5589,145.8777,22.8895,39.1,3158.38,56.24,0.49,57.14,0.25
53,AER2,R1,Rep5,sand,Murambatsvina,G9,7,46.9,0.21,-5.38,10.06,13.3595,35.58,68.44,-3.2782,101.5792,52.8628,33.79,1251.3,34.22,0.5,55.88,0.25
54,AER2,R1,Rep5,sand,Munzungu_munemari,G8,7,47,0.21,-3.04,7.55,15.0601,30.56,52.17,-3.6123,12.6645,62.1106,30.26,643.16,27.44,0.51,56.08,0.25
55,AER2,R1,Rep5,sand,Chizambia,G3,7,50.4,0.13,-3.35,9.15,15.7112,29.68,18.32,-2.4758,65.6085,63.9279,35.72,0,36.72,0.41,48.6,0.38
56,AER2,R1,Rep5,sand,Chigunwe,G2,7,50.8,0.2,-4.23,4.79,17.342,12.44,17.68,-4.5969,411.5523,59.2955,47.44,0,36.64,0.44,51.54,0.38
57,AER2,R1,Rep5,sand,Bobwhite,G1,7,52.3,0.21,-2.69,2.02,17.4702,20.48,20.43,-1.6676,1823.3392,61.2636,24.89,4073.77,62.44,0.47,55.01,0.25
58,AER2,R1,Rep5,sand,Guinea_fowl,G4,7,54.8,0.13,-3.34,11.37,21.8529,31.05,49,-5.2253,141.3336,56.5691,35.3,2804.41,46.94,0.41,48.47,0.27
59,AER2,R1,Rep5,sand,Muromo_wehoto,G10,7,57,0.21,-6.26,3.43,23.8686,20.95,33.06,-1.4019,96.5832,62.6993,33.64,3207.05,53.65,0.49,56.78,0.26
60,AER2,R1,Rep5,sand,Kabhutsu,G5,8,64,0.11,-3.57,7.4,24.2134,21.75,22.79,-1.1683,240.427,71.2055,39.05,556.29,40.31,0.44,50.89,0.27
61,AER2,R1,Rep6,sand,Kasawaya,G6,6,33.9,0.11,-1.4,16.19,2.3957,33.23,54.03,-6.5454,558.929,46.9013,29.78,624.52,32.01,0.54,58.56,0.13
62,AER2,R1,Rep6,sand,Natal_common,G11,6,37.8,0.16,-4.1,15.84,3.1351,32.83,54.33,-5.2292,1494.1738,61.4211,35.68,2886.72,63.94,0.43,50.95,0.22
63,AER2,R1,Rep6,sand,Makulu_red,G7,6,39,0.17,-3.8,6.93,11.523,33.2,51.93,-4.9358,495.6737,69.4505,28.9,4107.64,93.47,0.46,54.91,0.17
64,AER2,R1,Rep6,sand,Tumbe,G12,7,43.8,0.24,-3.32,7.7,12.6178,32.32,22.9,-4.9521,1678.6162,27.5138,38.18,1361.94,84.12,0.45,51.95,0.12
65,AER2,R1,Rep6,sand,Murambatsvina,G9,7,47,0.22,-6.3,11.85,12.9668,32.33,65.57,-5.0089,1679.193,57.7836,38.07,2313.9,70.42,0.49,55.82,0.15
66,AER2,R1,Rep6,sand,Munzungu_munemari,G8,7,48,0.23,-5.2,6.19,13.6364,30.8,56.23,-4.7494,1552.8717,61.477,38.53,3983.84,93.81,0.45,53.16,0.15
67,AER2,R1,Rep6,sand,Chizambia,G3,7,50.9,0.14,-3.4,8.85,14.3991,31.26,16.12,-3.9907,1337.4544,63.1853,36.61,3202.53,69.92,0.45,52.95,0.19
68,AER2,R1,Rep6,sand,Chigunwe,G2,7,51,0.15,2.29,5.36,16.497,22.18,18.61,-7.585,442.8519,50.2827,29.32,0,53.08,0.47,53.01,0.18
69,AER2,R1,Rep6,sand,Bobwhite,G1,7,53,0.21,2.35,3.03,20.9668,23.58,27.42,-7.9697,1835.4771,68.9353,30.76,0,87.61,0.47,57.4,0.22
70,AER2,R1,Rep6,sand,Guinea_fowl,G4,7,55,0.14,3.51,12.68,21.2947,31.66,44.02,-5.4994,1267.8157,54.8891,33.81,3781.56,82.72,0.46,54.04,0.18
71,AER2,R1,Rep6,sand,Muromo_wehoto,G10,7,57.3,0.29,-6.36,4.69,23.0151,21.41,30.29,-2.4608,383.8356,61.3908,29.01,4430.24,88.32,0.44,52.66,0.19
72,AER2,R1,Rep6,sand,Kabhutsu,G5,8,64.8,0.19,-3.11,7.69,32.8715,21.41,20.29,-3.4608,383.8356,71.3908,29.01,2247.81,77.83,0.45,51.73,0.12
